DataSourceID,DataSourceName,DataSourceCode,DataSourceDescription,DataSourceTypeID,SequenceNo,FirstRowUpload,ExternalFunctionName,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,DeletedDate,DeletedBy,EndPoint,Method,Body,TimeOut,IsActive,MessageSuccess,IsHistorical,IndeksKTP,IndeksNPWP,IndeksForeignKey
34,Bina Karya Prima,BKP,Bina Karya Prima (BKP),2,29,0,NULL,6/4/2021 9:45,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
35,Tiket.com,TKT,Global Tiket Network (Tiket.com),2,30,0,NULL,6/4/2021 9:47,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
36,Flow,FLW,FLOW - PT AsiaCollect Indonesia,2,34,0,NULL,6/17/2021 6:36,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,0,,1,7,0,0
37,Shipper,SHP,Shipper - PT Pakde Solusi Digital,2,35,0,NULL,8/16/2021 6:54,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,0,,1,0,3,0
38,Wagros Digital Indonesia,WDI,PT Wagros Digital Indonesia,2,36,0,NULL,11/8/2021 5:31,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
39,Galva Technologies,GALVA,Galva Technologies,2,37,0,NULL,2/3/2022 8:33,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
40,Katalisator Asa Indonesia,TJETAK,PT Katalisator Asa Indonesia (TJETAK),2,38,0,NULL,2/24/2022 10:39,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
41,Jamkrida Jakarta,JMKJKT,PT Jamkrida Jakarta (JMKJKT),2,39,0,NULL,7/12/2022 0:40,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,3,4,0
42,Fairbanc,FBC,Fairbanc (FBC),2,40,0,NULL,7/12/2022 1:41,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
43,Perum Jamkrindo,JAMKRINDO,Jaminan Kredit Indonesia (JAMKRINDO),2,41,0,NULL,7/12/2022 2:12,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,3,4,0
44,Indogal,INDOGAL,Indogal Agro Trading (INDOGAL),2,43,0,NULL,8/12/2022 17:43,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
45,Kredit Syariah Indonesia,KRESYA,Kredit Syariah Indonesia (Kresya),2,44,0,NULL,8/15/2022 15:38,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,7,0
46,WIKA,WIKA,PT Wijaya Karya (WIKA),2,45,0,NULL,10/6/2022 16:32,,10/25/2022 8:06,yogi.purwantoro,NULL,NULL,,,NULL,0,1,,0,4,10,0
